Defender Name,Defender Position,Defense Coverage,Formation/Coverage,Blitz,Pass Rush Success
M.Jefferson,RDE,Rush Passer,"43 Under, Dime Personnel, Tampa-2",0,0
C.Warren,RCB,Blitz Passer,"43 Under, Dime Personnel, Tampa-2",1,0
M.Jefferson,LDE,Rush Passer,"43 Under, Nickel Personnel, Cover-1, Buzz",0,0
A.Rubble,1tcDT,Rush Passer,"43 Under, Nickel Personnel, Cover-1, Buzz",0,0
W.Horn,3tcDT,Rush Passer,"43 Under, Nickel Personnel, Cover-1, Buzz",0,0
N.Tilton,RDE,Rush Passer,"43 Under, Nickel Personnel, Cover-1, Buzz",0,0
N.Tilton,LDE,Rush Passer,"43 Under, Regular Personnel, Press-2",0,0
A.Rubble,1tcDT,Rush Passer,"43 Under, Regular Personnel, Press-2",0,0
W.Horn,3tcDT,Rush Passer,"43 Under, Regular Personnel, Press-2",0,0
R.Scott,RDE,Rush Passer,"43 Under, Regular Personnel, Press-2",0,0
M.Jefferson,LDE,Rush Passer,"43 Under, Nickel Personnel, Press-1",0,0
A.Rubble,1tcDT,Rush Passer,"43 Under, Nickel Personnel, Press-1",0,0
W.Horn,3tcDT,Rush Passer,"43 Under, Nickel Personnel, Press-1",0,0
N.Tilton,RDE,Rush Passer,"43 Under, Nickel Personnel, Press-1",0,0
J.Alexander,WLB,Blitz Passer,"43 Under, Nickel Personnel, Press-1",1,0
J.Joyner,LDE,Rush Passer,"43 Under, Nickel Personnel, Cover-4",0,0
A.Rubble,1tcDT,Rush Passer,"43 Under, Nickel Personnel, Cover-4",0,0
N.Ogden,3tcDT,Rush Passer,"43 Under, Nickel Personnel, Cover-4",0,0
N.Tilton,RDE,Rush Passer,"43 Under, Nickel Personnel, Cover-4",0,0
J.Joyner,LDE,Rush Passer,"43 Under, Dime Personnel, Cover-4",0,0
A.Rubble,1tcDT,Rush Passer,"43 Under, Dime Personnel, Cover-4",0,0
W.Horn,3tcDT,Rush Passer,"43 Under, Dime Personnel, Cover-4",0,0
M.Jefferson,RDE,Rush Passer,"43 Under, Dime Personnel, Cover-4",0,0
N.Tilton,LDE,Rush Passer,"43 Under, Regular Personnel, Press-2",0,0
A.Rubble,1tcDT,Rush Passer,"43 Under, Regular Personnel, Press-2",0,0
W.Horn,3tcDT,Rush Passer,"43 Under, Regular Personnel, Press-2",0,0
R.Scott,RDE,Rush Passer,"43 Under, Regular Personnel, Press-2",0,0
M.Jefferson,LDE,Rush Passer,"43 Under, Nickel Personnel, Press-2",0,0
A.Rubble,1tcDT,Rush Passer,"43 Under, Nickel Personnel, Press-2",0,0
W.Horn,3tcDT,Rush Passer,"43 Under, Nickel Personnel, Press-2",0,0
N.Tilton,RDE,Rush Passer,"43 Under, Nickel Personnel, Press-2",0,0
C.Kaiafas,MLB,Blitz Passer,"43 Under, Nickel Personnel, Press-2",1,0
M.Jefferson,LDE,Rush Passer,"43 Under, Nickel Personnel, Press-1",0,0
A.Rubble,1tcDT,Rush Passer,"43 Under, Nickel Personnel, Press-1",0,0
W.Horn,3tcDT,Rush Passer,"43 Under, Nickel Personnel, Press-1",0,0
N.Tilton,RDE,Rush Passer,"43 Under, Nickel Personnel, Press-1",0,0
C.Warren,RCB,Blitz Passer,"43 Under, Nickel Personnel, Press-1",1,0
M.Jefferson,LDE,Rush Passer,"43 Under, Nickel Personnel, Press-1",0,0
A.Rubble,1tcDT,Rush Passer,"43 Under, Nickel Personnel, Press-1",0,0
W.Horn,3tcDT,Rush Passer,"43 Under, Nickel Personnel, Press-1",0,0
N.Tilton,RDE,Rush Passer,"43 Under, Nickel Personnel, Press-1",0,0
J.Wilcox,LCB,Blitz Passer,"43 Under, Nickel Personnel, Press-1",1,0
M.Jefferson,LDE,Rush Passer,"43 Under, Nickel Personnel, Press-2",0,1
A.Rubble,1tcDT,Rush Passer,"43 Under, Nickel Personnel, Press-2",0,1
W.Horn,3tcDT,Rush Passer,"43 Under, Nickel Personnel, Press-2",0,1
N.Tilton,RDE,Rush Passer,"43 Under, Nickel Personnel, Press-2",0,1
J.Joyner,LDE,Rush Passer,"43 Under, Nickel Personnel, Cover-4",0,0
A.Rubble,1tcDT,Rush Passer,"43 Under, Nickel Personnel, Cover-4",0,0
N.Ogden,3tcDT,Rush Passer,"43 Under, Nickel Personnel, Cover-4",0,0
N.Tilton,RDE,Rush Passer,"43 Under, Nickel Personnel, Cover-4",0,0
J.Joyner,LDE,Rush Passer,"43 Under, Nickel Personnel, Press-1",0,0
A.Rubble,1tcDT,Rush Passer,"43 Under, Nickel Personnel, Press-1",0,0
W.Horn,3tcDT,Rush Passer,"43 Under, Nickel Personnel, Press-1",0,0
N.Tilton,RDE,Rush Passer,"43 Under, Nickel Personnel, Press-1",0,0
J.Alexander,WLB,Blitz Passer,"43 Under, Nickel Personnel, Press-1",1,0
J.Joyner,LDE,Rush Passer,"43 Under, Regular Personnel, Cover-3 Sky",0,0
A.Rubble,1tcDT,Rush Passer,"43 Under, Regular Personnel, Cover-3 Sky",0,0
W.Horn,3tcDT,Rush Passer,"43 Under, Regular Personnel, Cover-3 Sky",0,0
N.Tilton,RDE,Rush Passer,"43 Under, Regular Personnel, Cover-3 Sky",0,0
N.Tilton,LDE,Rush Passer,"43 Under, Regular Personnel, Press-2",0,0
A.Rubble,1tcDT,Rush Passer,"43 Under, Regular Personnel, Press-2",0,0
W.Horn,3tcDT,Rush Passer,"43 Under, Regular Personnel, Press-2",0,0
R.Scott,RDE,Rush Passer,"43 Under, Regular Personnel, Press-2",0,0
M.Jefferson,LDE,Rush Passer,"43 Under, Nickel Personnel, Press-1",0,0
A.Rubble,1tcDT,Rush Passer,"43 Under, Nickel Personnel, Press-1",0,0
W.Horn,3tcDT,Rush Passer,"43 Under, Nickel Personnel, Press-1",0,0
N.Tilton,RDE,Rush Passer,"43 Under, Nickel Personnel, Press-1",0,0
J.Wilcox,LCB,Blitz Passer,"43 Under, Nickel Personnel, Press-1",1,0
M.Jefferson,LDE,Rush Passer,"43 Under, Nickel Personnel, Press-1",0,0
A.Rubble,1tcDT,Rush Passer,"43 Under, Nickel Personnel, Press-1",0,0
W.Horn,3tcDT,Rush Passer,"43 Under, Nickel Personnel, Press-1",0,0
N.Tilton,RDE,Rush Passer,"43 Under, Nickel Personnel, Press-1",0,0
K.Lofton,NB,Blitz Passer,"43 Under, Nickel Personnel, Press-1",1,0
N.Tilton,LDE,Rush Passer,"43 Under, Regular Personnel, Press-2",0,0
A.Rubble,1tcDT,Rush Passer,"43 Under, Regular Personnel, Press-2",0,0
W.Horn,3tcDT,Rush Passer,"43 Under, Regular Personnel, Press-2",0,0
R.Scott,RDE,Rush Passer,"43 Under, Regular Personnel, Press-2",0,0
J.Joyner,LDE,Rush Passer,"43 Under, Regular Personnel, Cover-3 Sky",0,1
A.Rubble,1tcDT,Rush Passer,"43 Under, Regular Personnel, Cover-3 Sky",0,1
N.Ogden,3tcDT,Rush Passer,"43 Under, Regular Personnel, Cover-3 Sky",0,1
N.Tilton,RDE,Rush Passer,"43 Under, Regular Personnel, Cover-3 Sky",0,1
N.Tilton,LDE,Rush Passer,"43 Under, Regular Personnel, Press-1",0,0
A.Rubble,1tcDT,Rush Passer,"43 Under, Regular Personnel, Press-1",0,0
W.Horn,3tcDT,Rush Passer,"43 Under, Regular Personnel, Press-1",0,0
R.Scott,RDE,Rush Passer,"43 Under, Regular Personnel, Press-1",0,0
M.Bell,SS,Blitz Passer,"43 Under, Regular Personnel, Press-1",1,0
J.Joyner,LDE,Rush Passer,"43 Under, Nickel Personnel, Cover-4",0,0
A.Rubble,1tcDT,Rush Passer,"43 Under, Nickel Personnel, Cover-4",0,0
N.Ogden,3tcDT,Rush Passer,"43 Under, Nickel Personnel, Cover-4",0,0
N.Tilton,RDE,Rush Passer,"43 Under, Nickel Personnel, Cover-4",0,0
M.Jefferson,LDE,Rush Passer,"43 Under, Nickel Personnel, Press-2",0,0
A.Rubble,1tcDT,Rush Passer,"43 Under, Nickel Personnel, Press-2",0,0
W.Horn,3tcDT,Rush Passer,"43 Under, Nickel Personnel, Press-2",0,0
N.Tilton,RDE,Rush Passer,"43 Under, Nickel Personnel, Press-2",0,0
J.Joyner,LDE,Rush Passer,"43 Under, Nickel Personnel, Cover-4",0,0
A.Rubble,1tcDT,Rush Passer,"43 Under, Nickel Personnel, Cover-4",0,0
W.Horn,3tcDT,Rush Passer,"43 Under, Nickel Personnel, Cover-4",0,0
N.Tilton,RDE,Rush Passer,"43 Under, Nickel Personnel, Cover-4",0,0
J.Joyner,LDE,Rush Passer,"43 Under, Nickel Personnel, Cover-4",0,0
A.Rubble,1tcDT,Rush Passer,"43 Under, Nickel Personnel, Cover-4",0,0
N.Ogden,3tcDT,Rush Passer,"43 Under, Nickel Personnel, Cover-4",0,0
N.Tilton,RDE,Rush Passer,"43 Under, Nickel Personnel, Cover-4",0,0
J.Joyner,LDE,Rush Passer,"43 Under, Nickel Personnel, Press-1",0,1
A.Rubble,1tcDT,Rush Passer,"43 Under, Nickel Personnel, Press-1",0,1
W.Horn,3tcDT,Rush Passer,"43 Under, Nickel Personnel, Press-1",0,1
N.Tilton,RDE,Rush Passer,"43 Under, Nickel Personnel, Press-1",0,1
K.Lofton,NB,Blitz Passer,"43 Under, Nickel Personnel, Press-1",1,1
N.Tilton,LDE,Rush Passer,"43 Under, Regular Personnel, Press-2",0,0
A.Rubble,1tcDT,Rush Passer,"43 Under, Regular Personnel, Press-2",0,0
W.Horn,3tcDT,Rush Passer,"43 Under, Regular Personnel, Press-2",0,0
R.Scott,RDE,Rush Passer,"43 Under, Regular Personnel, Press-2",0,0
J.Joyner,LDE,Rush Passer,"43 Under, Nickel Personnel, Press-1",0,0
A.Rubble,1tcDT,Rush Passer,"43 Under, Nickel Personnel, Press-1",0,0
W.Horn,3tcDT,Rush Passer,"43 Under, Nickel Personnel, Press-1",0,0
N.Tilton,RDE,Rush Passer,"43 Under, Nickel Personnel, Press-1",0,0
J.Alexander,WLB,Blitz Passer,"43 Under, Nickel Personnel, Press-1",1,0
J.Joyner,LDE,Rush Passer,"43 Under, Dime Personnel, Tampa-2",0,0
A.Rubble,1tcDT,Rush Passer,"43 Under, Dime Personnel, Tampa-2",0,0
N.Ogden,3tcDT,Rush Passer,"43 Under, Dime Personnel, Tampa-2",0,0
M.Jefferson,RDE,Rush Passer,"43 Under, Dime Personnel, Tampa-2",0,0
C.Warren,RCB,Blitz Passer,"43 Under, Dime Personnel, Tampa-2",1,0
J.Joyner,LDE,Rush Passer,"43 Under, Nickel Personnel, Cover-4",0,0
A.Rubble,1tcDT,Rush Passer,"43 Under, Nickel Personnel, Cover-4",0,0
N.Ogden,3tcDT,Rush Passer,"43 Under, Nickel Personnel, Cover-4",0,0
N.Tilton,RDE,Rush Passer,"43 Under, Nickel Personnel, Cover-4",0,0
M.Jefferson,LDE,Rush Passer,"43 Under, Nickel Personnel, Press-1",0,0
A.Rubble,1tcDT,Rush Passer,"43 Under, Nickel Personnel, Press-1",0,0
W.Horn,3tcDT,Rush Passer,"43 Under, Nickel Personnel, Press-1",0,0
N.Tilton,RDE,Rush Passer,"43 Under, Nickel Personnel, Press-1",0,0
C.Kaiafas,MLB,Blitz Passer,"43 Under, Nickel Personnel, Press-1",1,0
J.Joyner,LDE,Rush Passer,"43 Under, Regular Personnel, Cover-3 Sky",0,0
A.Rubble,1tcDT,Rush Passer,"43 Under, Regular Personnel, Cover-3 Sky",0,0
N.Ogden,3tcDT,Rush Passer,"43 Under, Regular Personnel, Cover-3 Sky",0,0
N.Tilton,RDE,Rush Passer,"43 Under, Regular Personnel, Cover-3 Sky",0,0
M.Jefferson,LDE,Rush Passer,"43 Under, Nickel Personnel, Press-1",0,0
A.Rubble,1tcDT,Rush Passer,"43 Under, Nickel Personnel, Press-1",0,0
W.Horn,3tcDT,Rush Passer,"43 Under, Nickel Personnel, Press-1",0,0
N.Tilton,RDE,Rush Passer,"43 Under, Nickel Personnel, Press-1",0,0
C.Warren,RCB,Blitz Passer,"43 Under, Nickel Personnel, Press-1",1,0
M.Jefferson,LDE,Rush Passer,"43 Under, Nickel Personnel, Press-1",0,0
A.Rubble,1tcDT,Rush Passer,"43 Under, Nickel Personnel, Press-1",0,0
W.Horn,3tcDT,Rush Passer,"43 Under, Nickel Personnel, Press-1",0,0
N.Tilton,RDE,Rush Passer,"43 Under, Nickel Personnel, Press-1",0,0
C.Kaiafas,MLB,Blitz Passer,"43 Under, Nickel Personnel, Press-1",1,0
J.Joyner,LDE,Rush Passer,"43 Under, Nickel Personnel, Press-1",0,0
A.Rubble,1tcDT,Rush Passer,"43 Under, Nickel Personnel, Press-1",0,0
W.Horn,3tcDT,Rush Passer,"43 Under, Nickel Personnel, Press-1",0,0
R.Scott,RDE,Rush Passer,"43 Under, Nickel Personnel, Press-1",0,0
J.Alexander,WLB,Blitz Passer,"43 Under, Nickel Personnel, Press-1",1,0
M.Jefferson,LDE,Rush Passer,"43 Under, Nickel Personnel, Press-2",0,0
A.Rubble,1tcDT,Rush Passer,"43 Under, Nickel Personnel, Press-2",0,0
W.Horn,3tcDT,Rush Passer,"43 Under, Nickel Personnel, Press-2",0,0
N.Tilton,RDE,Rush Passer,"43 Under, Nickel Personnel, Press-2",0,0
J.Joyner,LDE,Rush Passer,"43 Under, Nickel Personnel, Cover-3 Sky",0,1
A.Rubble,1tcDT,Rush Passer,"43 Under, Nickel Personnel, Cover-3 Sky",0,1
N.Ogden,3tcDT,Rush Passer,"43 Under, Nickel Personnel, Cover-3 Sky",0,1
N.Tilton,RDE,Rush Passer,"43 Under, Nickel Personnel, Cover-3 Sky",0,1
J.Joyner,LDE,Rush Passer,"43 Under, Nickel Personnel, Cover-3 Sky",0,0
A.Rubble,1tcDT,Rush Passer,"43 Under, Nickel Personnel, Cover-3 Sky",0,0
N.Ogden,3tcDT,Rush Passer,"43 Under, Nickel Personnel, Cover-3 Sky",0,0
N.Tilton,RDE,Rush Passer,"43 Under, Nickel Personnel, Cover-3 Sky",0,0
M.Jefferson,LDE,Rush Passer,"43 Under, Nickel Personnel, Press-1",0,0
A.Rubble,1tcDT,Rush Passer,"43 Under, Nickel Personnel, Press-1",0,0
W.Horn,3tcDT,Rush Passer,"43 Under, Nickel Personnel, Press-1",0,0
N.Tilton,RDE,Rush Passer,"43 Under, Nickel Personnel, Press-1",0,0
C.Kaiafas,MLB,Blitz Passer,"43 Under, Nickel Personnel, Press-1",1,0
